model_handle,provider,point_cost,context_window_tokens,flags,has_multimodal_input,web_search_type,code_capability_profile,reasoning_profile,comments,,,,,,,,,
Aya-Expanse-32,Cohere,Not accessible,Not Found,None,No,None,Standard,Standard,32B open-weight research release with advanced multilingual capabilities in 23 languages.,,,,,,,,,
Aya-Vision,Cohere,Not Found,Not Found,None,Yes (Image),None,Standard,Standard,"32B open-weights model, excels in 23 languages in vision and text.",,,,,,,,,
Bagoodex-Web-Search,Bagoodex,Not Found,Not Found,None,Yes (Image),Dedicated,Standard,Standard,"Offers instant access to videos, images, weather, and more.",,,,,,,,,
ChatGPT-4o-Latest,OpenAI,345+ points,128000,None,No,None,High,Standard,Dynamic model continuously updated. Cannot generate images.,,,,,,,,,
Claude-Haiku-3,Anthropic,20+ points,Not Found,None,No,None,Standard,Standard,"Outperforms models in its intelligence category on performance, speed and cost.Assistant",Poe,Variable points,Variable,None,Yes (Image),Integrated,Standard,Standard,Routes queries to other models based on task.
Claude-Haiku-3.5,Anthropic,Not available,Not Found,None,No,None,Standard,Standard,Latest generation of Anthropic's fastest model.,,,,,,,,,
Claude-Haiku-3.5-Search,Anthropic,Not available,Not Found,None,No,Integrated,Standard,Standard,Access to real-time information.,,,,,,,,,
Claude-Opus-3,Anthropic,Not accessible,200000,None,No,None,High,Optimized,Handles complex analysis and longer tasks with multiple steps.,,,,,,,,,
Claude-Opus-4,Anthropic,4951+ points,200000,--thinking_budget,No,None,High,Tunable,Customizable thinking budget up to 30k tokens.,,,,,,,,,
Claude-Opus-4-Reasoning,Anthropic,Not available,200000,--thinking_budget,No,None,High,Tunable,Customizable thinking budget up to 30k tokens.,,,,,,,,,
Claude-Opus-4-Search,Anthropic,1134+ points,200000,--thinking_budget,No,Integrated,High,Tunable,Access to real-time information. Thinking budget up to 126k tokens.,,,,,,,,,
Claude-Opus-4.1,Anthropic,Not Found,200000,--thinking_budget,No,None,High,Tunable,Customizable thinking budget up to 32k tokens.,,,,,,,,,
Claude-Sonnet-3.5,Anthropic,297+ points,200000,None,Yes (Image),None,High,Optimized,"October 22, 2024 model snapshot. Excels in visual processing.",,,,,,,,,
Claude-Sonnet-3.5-June,Anthropic,Not accessible,Not Found,None,Yes (Image),None,High,Optimized,Legacy June 2024 snapshot; generally more verbose.,,,,,,,,,
Claude-Sonnet-3.5-Search,Anthropic,Not available,Not Found,None,Yes (Image),Integrated,High,Optimized,Access to real-time information.,,,,,,,,,
Claude-Sonnet-3.7,Anthropic,1044+ points,200000,--thinking_budget,No,None,Standard,Tunable,"Hybrid reasoning model. Thinking budget up to 16,384 tokens.",,,,,,,,,
Claude-Sonnet-3.7-Reasoning,Anthropic,2371+ points,200000,--thinking_budget,No,None,High,Tunable,Reasoning on by default. Recommended for complex math or coding.,,,,,,,,,
Claude-Sonnet-3.7-Search,Anthropic,Not available,200000,--thinking_budget,No,Integrated,Standard,Tunable,Access to real-time information. Thinking budget up to 126k tokens.,,,,,,,,,
Claude-Sonnet-4,Anthropic,938+ points,200000,--thinking_budget,No,None,Standard,Tunable,Customizable thinking budget up to 30k tokens.,,,,,,,,,
Claude-Sonnet-4-Reasoning,Anthropic,1628+ points,200000,--thinking_budget,No,None,Standard,Tunable,Customizable thinking budget up to 60k tokens.,,,,,,,,,
Claude-Sonnet-4-Search,Anthropic,227+ points,200000,--thinking_budget,No,Integrated,Standard,Tunable,Access to real-time information. Thinking budget up to 126k tokens.,,,,,,,,,
Command-R,Cohere,170 points,Not Found,None,No,Integrated,Standard,Standard,Can search the web and respond in over 10 languages.,,,,,,,,,
Command-R-Plus,Cohere,1130 points,Not Found,None,No,Integrated,High,Standard,Supercharged version of Command R.,,,,,,,,,
DeepClaude,DeepClaude,Not Found,Not Found,None,No,None,High,Optimized,Combines DeepSeek R1's CoT with Claude's creative/code generation.,,,,,,,,,
DeepSeek-Prover-V2,,,,,,,,,DeepSeek-Prover-V2 is an open-source large language model specifically designed for formal theorem proving in Lean 4. The model builds on a recursive theorem proving pipeline powered by the company's DeepSeek-V3 foundation model.,,,,,,,,,
DeepSeek-R1,DeepSeek,600 points,164000,None,No,None,High,Optimized,Top open-source reasoning LLM. Data sent to Together AI.,,,,,,,,,
DeepSeek-R1-DI,DeepSeek,200 points,64000,None,No,None,High,Optimized,Quantization: FP8. Data sent to DeepInfra.,,,,,,,,,
DeepSeek-R1-Distill,DeepSeek,150 points,128000,None,No,None,High,Optimized,Fine-tuned version of Llama 3.3 70B served from GroqCloud.,,,,,,,,,
DeepSeek-R1-FW,DeepSeek,600 points,164000,None,No,None,High,Optimized,Explains its chain of thought. Data sent to Fireworks AI.,,,,,,,,,
DeepSeek-R1-N,DeepSeek,Not Found,Not Found,None,No,None,High,Optimized,Does not accept attachments.,,,,,,,,,
DeepSeek-R1-Turbo-DI,DeepSeek,Not accessible,32000,None,No,None,High,Optimized,Turbo model is quantized for higher speeds. Quantization: FP4. Data sent to DeepInfra.,,,,,,,,,
DeepSeek-V3,DeepSeek,415 points,131000,None,No,None,High,Optimized,Top open-source LLM. Data sent to Together AI.,,,,,,,,,
DeepSeek-V3-DI,DeepSeek,Not accessible,64000,None,No,None,High,Optimized,Quantization: FP8. Data sent to DeepInfra.,,,,,,,,,
DeepSeek-V3-Turbo-DI,DeepSeek,Not accessible,32000,None,No,None,High,Optimized,Turbo variant is quantized for higher speeds. Quantization: FP4. Data sent to DeepInfra.,,,,,,,,,
DeepSeek-V3.1,,,,,,,,,"DeepSeek-V3.1 is a hybrid model that supports both thinking mode and non-thinking mode. DeepSeek-V3.1 is post-trained on the top of DeepSeek-V3.1-Base, which is built upon the original V3 base checkpoint through a two-phase long context extension approach, following the methodology outlined in the original DeepSeek-V3 report. It supports 128k token context window. The Bot does not currently support attachments",,,,,,,,,
DeepSeek-V3.1-N,,,,,,,,,"DeepSeek-V3.1 is a hybrid model that supports both thinking mode and non-thinking mode. Compared to the previous version, this upgrade brings improvements in multiple aspects: - Hybrid thinking mode: One model supports both thinking mode and non-thinking mode by changing the chat template. - Smarter tool calling: Through post-training optimization, the model's performance in tool usage and agent tasks has significantly improved. - Higher thinking efficiency: DeepSeek-V3.1-Think achieves comparable answer quality to DeepSeek-R1-0528, while responding more quickly. - The Bot does not currently support attachments",,,,,,,,,
Gemini-1.5-Flash,Google,Not Found,Not Found,None,"Yes (Image, Video)",None,Standard,Standard,Optimized for speed. One video per message restriction.,,,,,,,,,
Gemini-1.5-Flash-Search,Google,4+ points,Not Found,None,No,Integrated,Standard,Standard,Grounding model currently supports text only.,,,,,,,,,
Gemini-1.5-Pro,Google,32+ points,Not Found,None,"Yes (Image, Video)",None,High,Optimized,"Accepts text, image, and video input. One video per message.",,,,,,,,,
Gemini-1.5-Pro-Search,Google,47+ points,Not Found,None,No,Integrated,High,Optimized,Grounding model currently supports text only.,,,,,,,,,
Gemini-2.0-Flash,Google,7+ points,1000000,None,Yes (Image),Integrated,High,Optimized,Outperforms 1.5 Pro on key benchmarks at twice the speed.,,,,,,,,,
Gemini-2.0-Flash-Lite,Google,5+ points,1000000,None,No,None,Standard,Standard,Spiritual successor to Gemini 1.5 Flash. Does not support web search.,,,,,,,,,
Gemini-2.5-Flash,Google,9+ points,1000000,--thinking_budget,Yes (Image),Integrated,Standard,Tunable,Upgrade in reasoning and search from 2.0 Flash.,,,,,,,,,
Gemini-2.5-Flash-Lite,,,,,,,,,"A lightweight Gemini 2.5 Flash reasoning model optimized for cost efficiency and low latency. Supports web search. Supports 1 million tokens of input context. For more complex queries, use https://poe.com/Gemini-2.5-Pro or https://poe.com/Gemini-2.5-Flash To instruct the bot to use more thinking effort, add --thinking_budget and a number ranging from 0 to 24,576 to the end of your message.",,,,,,,,,
Gemini-2.5-Flash-Lite-Preview,Google,Not Found,1000000,--thinking_budget,Yes (Image),Integrated,Standard,Tunable,Lightweight and cost-efficient version.,,,,,,,,,
Gemini-2.5-Pro,Google,335+ points,1000000,--thinking_budget,Yes (Image),Integrated,High,Tunable,Supports web search.,,,,,,,,,
Gemma-2-27b-T,Google,90 points,Not Found,None,No,None,High,Standard,"For most use cases, Gemini models will produce better results.",,,,,,,,,
Gemma-3-27B,Google,Not accessible,128000,None,Yes (Image),None,High,Optimized,"Successor to Gemma 2, understands over 140 languages.",,,,,,,,,
GLM-4.5,Zhipu AI,Not Found,Not Found,None,Yes (Image),None,High,Optimized,"355B total parameters. Unifies reasoning, coding, and agent capabilities. The GLM-4.5 series models are foundation models designed for intelligent agents. GLM-4.5 has 355 billion total parameters with 32 billion active parameters, while GLM-4.5-Air adopts a more compact design with 106 billion total parameters and 12 billion active parameters. GLM-4.5 models unify reasoning, coding, and intelligent agent capabilities to meet the complex demands of intelligent agent applications. This bot currently does not accept attachments.",,,,,,,,,
GLM-4.5-Air,,,,,,,,,"GLM-4.5-Air is a 106-billion parameter (12B active) foundation model designed for intelligent agent applications, featuring hybrid reasoning capabilities with both thinking and non-thinking modes. It unifies reasoning, coding, and agent functionality while maintaining superior efficiency, achieving competitive performance at 59.8 on industry benchmarks.",,,,,,,,,
GLM-4.5-Air-T,,,,,,,,,"The GLM-4.5 series models are foundation models designed for intelligent agents. GLM-4.5 has 355 billion total parameters with 32 billion active parameters, while GLM-4.5-Air adopts a more compact design with 106 billion total parameters and 12 billion active parameters. GLM-4.5 models unify reasoning, coding, and intelligent agent capabilities to meet the complex demands of intelligent agent applications.",,,,,,,,,
GLM-4.5-FW,,,,,,,,,"The GLM-4.5 series models are foundation models designed for intelligent agents. GLM-4.5 has 355 billion total parameters with 32 billion active parameters. It unifies reasoning, coding, and intelligent agent capabilities to meet the complex demands of intelligent agent applications.",,,,,,,,,
GPT-3.5-Turbo,OpenAI,14+ points,16384,None,No,None,Standard,Standard,Powerful language generation system.,,,,,,,,,
GPT-3.5-Turbo-Instruct,OpenAI,19+ points,Not Found,None,No,None,Standard,Standard,Powered by gpt-3.5-turbo-instruct.,,,,,,,,,
GPT-3.5-Turbo-Raw,OpenAI,15+ points,Not Found,None,No,None,Standard,Standard,Powered by gpt-3.5-turbo without a system prompt.,,,,,,,,,
GPT-4-Classic,OpenAI,757+ points,Not Found,None,Yes (Image),None,High,Standard,Powered by gpt-4-0613 for text and gpt-4o for images.,,,,,,,,,
GPT-4-Classic-0314,OpenAI,Not accessible,Not Found,None,Yes (Image),None,High,Standard,Powered by gpt-4-0314 for text and gpt-4o for images.,,,,,,,,,
GPT-4-Turbo,OpenAI,406+ points,128000,None,Yes (Image),None,High,Standard,Powered by GPT-4 Turbo with Vision.,,,,,,,,,
GPT-4.1,OpenAI,196+ points,1000000,None,Yes (Image),None,High,Standard,75% chat history cache discount.,,,,,,,,,
GPT-4.1-mini,OpenAI,28+ points,1000000,None,Yes (Image),None,Standard,Standard,"Small, fast & affordable model that matches or beats GPT-4o.",,,,,,,,,
GPT-4.1-nano,OpenAI,8+ points,1000000,None,Yes (Image),None,Standard,Standard,Extremely fast and cheap model for summarization/categorization.,,,,,,,,,
GPT-4o,OpenAI,Variable points,128000,None,Yes (Image),None,High,Standard,Uses GPT-Image-1 for image generation.,,,,,,,,,
GPT-4o-Aug,OpenAI,300 points,Not Found,None,Yes (Image),None,High,Standard,August 2024 model snapshot of GPT-4o.,,,,,,,,,
GPT-4o-mini,OpenAI,7+ points,Not Found,None,No,None,Standard,Standard,"Significantly smarter, cheaper, and as fast as GPT-3.5 Turbo.",,,,,,,,,
GPT-4o-mini-Search,OpenAI,836+ points,128000,None,No,Integrated,Standard,Standard,Less expensive version of GPT-4o-Search. Does not support image search.,,,,,,,,,
GPT-4o-Search,OpenAI,1235+ points,128000,None,No,Integrated,High,Standard,Fine-tuned for searching the web. Does not support image search.,,,,,,,,,
GPT-5,OpenAI,Not Found,400000,--reasoning_effort,Yes (Image),None,High,Tunable,90% chat history cache discount.,,,,,,,,,
GPT-5-Chat,OpenAI,Not Found,Not Found,None,Yes (Image),None,High,Standard,Snapshot used in ChatGPT; 90% chat history cache discount.,,,,,,,,,
GPT-5-mini,OpenAI,Not Found,400000,--reasoning_effort,Yes (Image),None,Standard,Tunable,Matches or beats GPT-4.1 in many tasks. 90% chat history cache discount.,,,,,,,,,
GPT-5-nano,OpenAI,Not Found,400000,--reasoning_effort,Yes (Image),None,Standard,Tunable,Extremely fast model for summarization/categorization. 90% chat history cache discount.,,,,,,,,,
