model_handle,provider,point_cost,context_window_tokens,flags,has_multimodal_input,web_search_type,code_capability_profile,reasoning_profile,comments,,,,,,,,,
GPT-OSS-120B-CS,OpenAI,Not Found,Not Found,None,Yes (Image),Integrated,Specialized,Optimized,Worldâs fastest inference for GPT OSS 120B with Cerebras.,,,,,,,,,
OpenAI-GPT-OSS-120B,OpenAI,Not Found,Not Found,--reasoning_effort,No,Integrated,Specialized,Tunable,Trained on Harmony response format; fits on a single H100 GPU.,,,,,,,,,
OpenAI-GPT-OSS-20B,OpenAI,Not Found,Not Found,--reasoning_effort,No,Integrated,Specialized,Tunable,Compact model for low-latency and edge deployments.,,,,,,,,,
Qwen-3-235B-2507-T,Alibaba,Not Found,262000,None,No,None,High,Optimized,Best instruct model (non-reasoning) among many sources.,,,,,,,,,
Qwen3-235B-2507-FW,Alibaba,Not accessible,256000,None,No,None,High,Standard,Operates in non-thinking mode. Data sent to Fireworks AI.,,,,,,,,,
Qwen3-235B-2507-CS,Alibaba,Not Found,Not Found,None,No,None,High,Standard,World's fastest inference with Cerebras.,,,,,,,,,
Qwen3-Coder-480B-T,Alibaba,Not Found,262144,None,No,None,Specialized,Optimized,480B total parameters MoE model for code generation.,,,,,,,,,
Qwen3-Coder-480B-FW,Alibaba,Not Found,256000,None,No,None,Specialized,Optimized,Scales to 1M tokens with extrapolation. Data sent to Fireworks AI.,,,,,,,,,
Qwen3-235B-A22B-DI,Alibaba,Not accessible,32000,None,No,None,High,Optimized,Quantization: FP8.,,,,,,,,,
Qwen3-235B-A22B,Alibaba,0 points,Not Found,None,No,None,High,Optimized,Fastest implementation of the new Qwen3 235B flagship model.,,,,,,,,,
Qwen3-235B-A22B-N,Alibaba,Not Found,262000,None,No,None,High,Standard,"Does not implement ""thinking mode"". Does not support attachments.",,,,,,,,,
QwQ-32B-T,Alibaba,Not accessible,131000,None,No,None,High,Optimized,"Compact, 32B open-source reasoning model.",,,,,,,,,
MiniMax-M1,MiniMax,100+ points,1000000,None,No,None,Standard,Optimized,Pure text reasoning model; does not process any file types.,,,,,,,,,
o1,OpenAI,4120+ points,200000,--reasoning_effort,Yes (Image),None,High,Tunable,Designed to reason before it responds.,,,,,,,,,
o1-pro,OpenAI,54420+ points,Not Found,--reasoning_effort,Yes (Image),None,High,Tunable,"Tailored for complex, compute- or context-heavy tasks.",,,,,,,,,
o1-mini,OpenAI,385+ points,128000,None,Yes (Image),None,High,Optimized,Small version of OpenAI's o1 model.,,,,,,,,,
ChatGPT-4o-Latest,OpenAI,345+ points,128000,None,No,None,High,Standard,Dynamic model continuously updated. Cannot generate images.,,,,,,,,,
GPT-4o-mini,OpenAI,7+ points,Not Found,None,No,None,Standard,Standard,"Significantly smarter, cheaper, and as fast as GPT-3.5 Turbo.",,,,,,,,,
o3-mini-high,OpenAI,508+ points,200000,--reasoning_effort,Yes (Image),None,High,Tunable,reasoning_effort is set to high by default.,,,,,,,,,
o3-mini,OpenAI,244+ points,200000,--reasoning_effort,Yes (Image),None,High,Tunable,Uses medium reasoning effort by default.GPT-OSS-120B-CS,OpenAI,Not Found,Not Found,None,Yes (Image),Integrated,Specialized,Optimized,Worldâs fastest inference for GPT OSS 120B with Cerebras.
OpenAI-GPT-OSS-120B,OpenAI,Not Found,Not Found,--reasoning_effort,No,Integrated,Specialized,Tunable,Trained on Harmony response format; fits on a single H100 GPU.,,,,,,,,,
OpenAI-GPT-OSS-20B,OpenAI,Not Found,Not Found,--reasoning_effort,No,Integrated,Specialized,Tunable,Compact model for low-latency and edge deployments.,,,,,,,,,
